"original","reviewed","changed","reviewed_symbol_valid"
"ADCY5","ADCY5",FALSE,TRUE
"ADORA2A","ADORA2A",FALSE,TRUE
"ADRM1","ADRM1",FALSE,TRUE
"APAF1","APAF1",FALSE,TRUE
"ATF4","ATF4",FALSE,TRUE
"ATF6","ATF6",FALSE,TRUE
"ATP5F1A","ATP5F1A",FALSE,TRUE
"ATP5F1B","ATP5F1B",FALSE,TRUE
"ATP5F1C","ATP5F1C",FALSE,TRUE
"ATP5F1D","ATP5F1D",FALSE,TRUE
"ATP5F1E","ATP5F1E",FALSE,TRUE
"ATP5MC1","ATP5MC1",FALSE,TRUE
"ATP5MC2","ATP5MC2",FALSE,TRUE
"ATP5MC3","ATP5MC3",FALSE,TRUE
"ATP5PB","ATP5PB",FALSE,TRUE
"ATP5PD","ATP5PD",FALSE,TRUE
"ATP5PF","ATP5PF",FALSE,TRUE
"ATP5PO","ATP5PO",FALSE,TRUE
"ATP6","MT-ATP6",TRUE,FALSE
"ATP8","MT-ATP8",TRUE,FALSE
"BAX","BAX",FALSE,TRUE
"BCL2L1","BCL2L1",FALSE,TRUE
"CALM1","CALM1",FALSE,TRUE
"CALM2","CALM2",FALSE,TRUE
"CALM3","CALM3",FALSE,TRUE
"CALML3","CALML3",FALSE,TRUE
"CALML4","CALML4",FALSE,TRUE
"CALML5","CALML5",FALSE,TRUE
"CALML6","CALML6",FALSE,TRUE
"CAMK2A","CAMK2A",FALSE,TRUE
"CAMK2B","CAMK2B",FALSE,TRUE
"CAMK2D","CAMK2D",FALSE,TRUE
"CAMK2G","CAMK2G",FALSE,TRUE
"CASP3","CASP3",FALSE,TRUE
"CASP9","CASP9",FALSE,TRUE
"COX1","MT-CO1",TRUE,FALSE
"COX2","MT-CO2",TRUE,FALSE
"COX3","MT-CO3",TRUE,FALSE
"COX4I1","COX4I1",FALSE,TRUE
"COX4I2","COX4I2",FALSE,TRUE
"COX5A","COX5A",FALSE,TRUE
"COX5B","COX5B",FALSE,TRUE
"COX6A1","COX6A1",FALSE,TRUE
"COX6A2","COX6A2",FALSE,TRUE
"COX6B1","COX6B1",FALSE,TRUE
"COX6B2","COX6B2",FALSE,TRUE
"COX6C","COX6C",FALSE,TRUE
"COX7A1","COX7A1",FALSE,TRUE
"COX7A2","COX7A2",FALSE,TRUE
"COX7A2L","COX7A2L",FALSE,TRUE
"COX7B","COX7B",FALSE,TRUE
